# Generated by scripts/generate-agot-now-lov-ee-world-data.py.
# Complete replacements for touched graphical-region keys.

graphical_east_asia = {
	graphical = yes
	color = { 155 255 155 }
	provinces = {
		21155 21156 21158 21159 21160 21161 21162 21163 21164 21165 21166 21167 21168 21171 21172 21173
		21175 21176 21177 21180 21183 21185 21187 21189 21190 21191 21192 21193 21195 21196 21197 21198
		21199 21200 21201 21202 21204 21205 21206 21208 21210 21211 21212 21213 21214 21215 21216 21217
		21219 21220 21221 21222 21223 21224 21225 21227 21228 21229 21230 21232 21233 21234 21235 21236
		21237 21238 21239 21240 21241 21242 21243 21244 21245 21246 21247 21248 21249 21250 21251 21252
		21253 21254 21255 21256 21257 21258 21259 21260 21261 21262 21263 21264 21265 21266 21267 21268
		21269 21270 21271 21272 21273 21274 21275 21276 21278 21279 21280 21281 21282 21283 21284 21285
		21286 21288 21289 21290 21291 21292 21294 21295 21297 21298 21299 21300 21303 21305 21306 21307
		21308 21309 21310 21311 21312 21313 21314 21315 21316 21317 21318 21319 21320 21321 21322 21323
		21324 21325 21326 21327 21329 21330 21331 21333 21334 21335 21336 21337 21338 21339 21340 21341
		21342 21344 21345 21346 21347 21348 21349 21350 21351 21352 21354 21355 21356 21357 21358 21359
		21360 21361 21362 21363 21364 21365 21366 21367 21369 21370 21371 21372 21373 21374 21375 21376
		21378 21379 21380 21381 21382 21383 21385 21386 21387 21388 21389 21390 21391 21392 21393 21394
		21395 21396 21397 21398 21399 21400 21401 21402 21403 21404 21405 21408 21409 21411 21412 21413
		21414 21415 21416 21417 21418 21419 21420 21421 21422 21423 21424 21425 21426 21427 21428 21429
		21430 21431 21432 21434 21436 21437 21438 21439 21441 21442 21443 21444 21445 21446 21447 21448
		21449 21450 21451 21452 21453 21454 21455 21456 21457 21458 21459 21460 21461 21462 21463 21464
		21465 21467 21468 21470 21471 21472 21473 21474 21475 21476 21477 21478 21479 21480 21481 21482
		21483 21484 21486 21487 21488 21489 21490 21491 21492 21493 21494 21495 21496 21497 21498 21499
		21500 21501 21502 21503 21504 21505 21506 21507 21508 21509 21510 21511 21512 21513 21515 21517
		21518 21519 21520 21521 21522 21523 21524 21525 21526 21529 21530 21532 21534 21535 21536 21537
		21538 21539 21540 21541 21542 21543 21544 21545 21546 21547 21548 21549 21550 21551 21552 21553
		21554 21555 21556 21557 21558 21560 21561 21562 21563 21564 21565 21566 21567 21568 21569 21572
		21573 21574 21575 21577 21578 21579 21580 21581 21582 21583 21584 21585 21587 21588 21589 21590
		21591 21592 21593 21594 21595 21597 21598 21599 21600 21601 21602 21603 21604 21605 21607 21608
		21609 21612 21613 21614 21615 21616 21617 21619 21620 21621 21622 21623 21624 21625 21626 21627
		21628 21630 21631 21632 21633 21634 21635 21636 21637 21638 21639 21640 21641 21642 21643 21644
		21645 21647 21648 21650 21651 21652 21653 21654 21655 21656 21657 21658 21659 21660 21661 21663
		21664 21665 21666 21667 21668 21669 21670 21671 21672 21673 21674 21675 21676 21678 21679 21681
		21682 21683 21684 21685 21686 21687 21689 21690 21691 21693 21694 21696 21698 21699 21700 21701
		21702 21703 21704 21705 21706 21707 21708 21709 21710 21711 21712 21713 21714 21715 21717 21718
		21719 21721 21722 21723 21724 21725 21726 21727 21728 21729 21730 21731 21732 21733 21734 21735
		21738 21739 21740 21741 21742 21743 21744 21745 21746 21747 21750 21751 21752 21753 21754 21755
		21756 21757 21758 21759 21760 21761 21762 21763 21764 21766 21767 21768 21769 21770 21771 21772
		21773 21774 21775 21776 21777 21778 21779 21780 21781 21782 21783 21784 21785 21786 21787 21788
		21789 21790 21791 21792 21793 21794 21795 21796 21797 21798 21799 21801 21802 21804 21805 21806
		21807 21808 21809 21810 21812 21813 21814 21815 21816 21817 21819 21820 21821 21822 21823 21824
		21825 21826 21827 21828 21829 21830 21831 21832 21833 21834 21835 21837 21838 21839 21840 21841
		21842 21843 21844 21845 21846 21848 21849 21850 21851 21852 21853 21854 21855 21856 21857 21858
		21860 21861 21863 21864 21865 21866 21867 21868 21869 21870 21871 21872 21873 21874 21875 21876
		21877 21878 21879 21880 21881 21882 21883 21884 21885 21886 21887 21888 21889 21890 21892 21893
		21894 21895 21896 21897 21898 21899 21900 21901 21902 21904 21907 21908 21909 21910 21912 21913
		21914 21915 21916 21918 21919 21920 21921 21923 21924 21925 21927 21928 21929 21930 21931 21932
		21933 21934 21935 21936 21937 21938 21939 21940 21941 21943 21944 21945 21946 21948 21949 21950
		21951 21952 21953 21955 21956 21957 21958 21959 21960 21961 21962 21963 21964 21965 21966 21967
		21969 21970 21971 21973 21974 21975 21976 21977 21978 21979 21980 21981 21982 21983 21984 21985
		21986 21988 21989 21990 21991 21992 21993 21994 21995 21996 21997 21998 21999 22000 22001 22002
		22003 22004 22005 22006 22007 22008 22009 22011 22012 22013 22014 22015 22016 22017 22018 22019
		22020 22021 22022 22023 22024 22026 22027 22028 22029 22030 22031 22032 22033 22034 22035 22036
		22037 22038 22039 22040 22041 22042 22043 22044 22045 22046 22047 22048 22049 22050 22051 22052
		22053 22054 22055 22056 22057 22058 22059 22060 22061 22062 22063 22064 22065 22066 22067 22068
		22069 22071 22072 22073 22074 22076 22077 22078 22079 22080 22081 22082 22083 22084 22086 22087
		22088 22089 22090 22091 22092 22093 22095 22097 22098 22099 22100 22101 22102 22103 22104 22105
		22106 22107 22108 22109 22110 22111 22112 22113 22114 22115 22116 22118 22119 22120 22121 22122
		22123 22124 22125 22126 22127 22128 22129 22130 22131 22132 22133 22134 22135 22136 22138 22139
		22140 22141 22142 22143 22144 22147 22149 22150 22151 22152 22153 22154 22155 22156 22157 22158
		22159 22161 22162 22163 22164 22165 22166 22167 22168 22169 22170 22171 22172 22173 22174 22176
		22177 22178 22179 22180 22181 22182 22183 22184 22185 22186 22187 22188 22189 22190 22191 22192
		22193 22194 22195 22196 22197 22198 22199 22201 22202 22203 22204 22205 22206 22207 22208 22210
		22212 22213 22214 22215 22216 22217 22218 22219 22220 22221 22222 22223 22224 22225 22226 22227
		22228 22230 22231 22232 22233 22235 22236 22237 22238 22240 22241 22242 22244 22245 22246 22248
		22249 22250 22251 22252 22253 22254 22258 22259 22260 22261 22263 22264 22265 22266 22267 22269
		22270 22271 22272 22273 22274 22275 22276 22277 22278 22279 22280 22281 22282 22283 22284 22285
		22286 22287 22288 22289 22290 22291 22292 22293 22294 22295 22296 22297 22298 22299 22300 22301
		22302 22303 22304 22305 22306 22307 22308 22310 22311 22312 22314 22315 22316 22317 22318 22319
		22320 22322 22323 22324 22325 22327 22329 22331 22332 22333 22334 22335 22336 22337 22338 22340
		22341 22342 22343 22344 22345 22346 22347 22349 22350 22351 22352 22353 22354 22355 22356 22357
		22358 22359 22360 22361 22362 22363 22364 22365 22366 22367 22369 22370 22371 22373 22374 22376
		22377 22378 22380 22381 22382 22383 22384 22385 22386 22387 22388 22389 22390 22391 22392 22395
		22396 22397 22398 22399 22400 22401 22402 22403 22404 22406 22407 22408 22409 22410 22411 22412
		22413 22414 22415 22416 22417 22418 22419 22420 22421 22422 22423 22424 22425 22426 22427 22428
		22429 22430 22431 22432 22434 22435 22436 22437 22438 22439 22440 22441 22442 22443 22444 22445
		22446 22447 22448 22449 22451 22452 22453 22454 22455 22456 22457 22458 22459 22460 22461 22462
		22463 22464 22465 22467 22469 22470 22472 22473 22474 22476 22477 22478 22479 22480 22481 22482
		22483 22485 22486 22487 22488 22489 22490 22491 22492 22493 22495 22497 22498 22499 22500 22501
		22502 22503 22504 22505 22506 22508 22509 22510 22511 22512 22513 22514 22515 22517 22519 22521
		22522 22523 22525 22526 22527 22528 22529 22530 22531 22532 22534 22537 22538 22539 22540 22542
		22543 22544 22546 22547 22548 22549 22550 22551 22552 22553 22554 22555 22556 22558 22559 22560
		22561 22564 22565 22566 22567 22568 22569 22570 22571 22572 22573 22575 22576 22577 22578 22579
		22580 22581 22582 22583 22584 22585 22586 22587 22588 22589 22590 22591 22592 22593 22594 22596
		22597 22598 22600 22601 22602 22603 22604 22605 22606 22607 22608 22609 22610 22611 22612 22613
		22614 22615 22616 22617 22618 22619 22620 22622 22623 22624 22626 22627 22628 22629 22630 22631
		22632 22633 22634 22635 22636 22637 22640 22641 22642 22643 22644 22645 22646 22647 22648 22650
		22651 22652 22653 22654 22655 22656 22657 22658 22659 22660 22661 22662 22663 22664 22665 22666
		22667 22668 22669 22670 22671 22672 22674 22675 22676 22677 22679 22680 22681 22682 22683 22684
		22685 22686 22688 22689 22691 22692 22693 22694 22695 22696 22697 22698 22701 22702 22703 22704
		22705 22706 22707 22708 22710 22711 22712 22713 22714 22715 22716 22717 22718 22719 22720 22722
		22724 22725 22726 22727 22728 22730 22731 22732 22733 22734 22735 22736 22737 22738 22739 22740
		22741 22742 22743 22744 22745 22747 22748 22749 22750 22751 22752 22754 22755 22756 22757 22758
		22759 22760 22761 22762 22763 22764 22765 22766 22767 22768 22769 22770 22771 22772 22773 22774
		22775 22776 22777 22779 22780 22782 22783 22785 22786 22787 22788 22789 22790 22791 22792 22793
		22794 22795 22796 22797 22798 22799 22800 22801 22802 22803 22804 22805 22806 22807 22808 22809
		22810 22812 22814 22815 22816 22817 22818 22819 22820 22821 22822 22823 22824 22826 22827 22828
		22830 22831 22832 22834 22835 22836 22838 22839 22840 22841 22842 22843 22844 22845 22846 22848
		22849 22850 22851 22852 22853 22854 22855 22856 22858 22860 22861 22862 22863 22865 22866 22867
		22868 22869 22870 22871 22872 22873 22875 22877 22878 22880 22881 22882 22883 22884 22885 22886
		22887 22888 22889 22890 22891 22892 22894 22895 22897 22898 22899 22900 22901 22902 22903 22904
		22905 22906 22907 22908 22909 22910 22911 22913 22915 22917 22918 22919 22920 22921 22922 22923
		22924 22925 22926 22927 22928 22929 22930 22931 22932 22933 22934 22935 22936 22937 22938 22939
		22940 22941 22942 22943 22944 22945 22946 22947 22948 22949 22950 22952 22954 22955 22956 22957
		22958 22959 22960 22961 22962 22963 22964 22965 22966 22967 22968 22969 22970 22971 22972 22973
		22974 22975 22976 22977 22978 22979 22980 22981 22982 22983 22984 22985 22987 22988 22989 22990
		22991 22992 22993 22994 22995 22996 22997 22998 22999 23000 23001 23002 23003 23004 23005 23006
		23007 23008 23009 23010 23011 23012 23013 23014 23016 23017 23018 23019 23020 23021 23022 23023
		23024 23025 23026 23027 23028 23030 23031 23033 23034 23036 23037 23040 23041 23042 23043 23044
		23046 23047 23048 23049 23050 23051 23052 23053 23054 23056 23058 23059 23060 23061 23062 23063
		23064 23065 23066 23068 23069 23070 23071 23072 23073 23074 23076 23077 23078 23079 23080 23081
		23082 23083 23084 23085 23088 23089 23090 23092 23093 23094 23095 23096 23098 23099 23100 23101
		23102 23103 23104 23106 23107 23108 23109 23110 23111 23112 23114 23115 23116 23119 23120 23121
		23122 23123 23124 23125 23126 23127 23128 23129 23130 23131 23133 23134 23135 23136 23137 23138
		23139 23140 23141 23142 23143 23144 23146 23147 23148 23149 23150 23152 23153 23154 23155 23156
		23157 23158 23159 23160 23162 23163 23164 23165 23166 23167 23168 23169 23170 23171 23172 23173
		23174 23175 23176 23177 23178 23179 23181 23182 23183 23184 23185 23186 23187 23188 23191 23192
		23193 23194 23195 23196 23197 23198 23201 23202 23203 23204 23206 23207 23208 23209 23210 23211
		23213 23214 23215 23216 23217 23218 23219 23220 23221 23222 23223 23224 23225 23226 23227 23228
		23229 23230 23231 23232 23233 23234 23235 23236 23238 23239 23240 23241 23242 23243 23244 23245
		23246 23247 23248 23249 23251 23252 23253 23254 23255 23256 23258 23259 23260 23261 23262 23263
		23264 23265 23266 23267 23268 23269 23270 23271 23272 23273 23274 23275 23277 23278 23279 23280
		23281 23282 23283 23284 23285 23286 23287 23288 23292 23293 23294 23295 23296 23297 23298 23299
		23300 23301 23302 23303 23304 23305 23306 23307 23308 23309 23310 23311 23312 23313 23314 23315
		23316 23317 23318 23320 23321 23322 23323 23324 23325 23326 23327 23328 23329 23330 23331 23332
		23333 23335 23336 23337 23338 23339 23340 23341 23342 23343 23344 23345 23346 23347 23349 23350
		23352 23353 23354 23355 23356 23357 23358 23359 23360 23361 23362 23363 23364 23365 23366 23367
		23368 23369 23370 23371 23373 23375 23376 23377 23379 23381 23382 23383 23384 23385 23386 23387
		23388 23389 23390 23391 23392 23393 23394 23395 23396 23398 23399 23400 23401 23403 23404 23405
		23406 23407 23408 23409 23410 23411 23412 23414 23415 23416 23417 23418 23419 23420 23421 23422
		23423 23424 23426 23427 23428 23429 23430 23431 23432 23433 23434 23435 23436 23437 23438 23439
		23440 23441 23442 23443 23444 23445 23446 23447 23448 23449 23451 23452 23453 23454 23455 23456
		23457 23458 23459 23460 23461 23464 23465 23466 23468 23469 23470 23471 23472 23473 23474 23475
		23477 23478 23479 23480 23481 23482 23483 23484 23486 23487 23488 23490 23491 23492 23493 23495
		23496 23498 23499 23500 23501 23502 23504 23505 23506 23507 23508 23509 23510 23511 23512 23513
		23514 23515 23516 23517 23518 23520 23521 23522 23524 23525 23527 23528 23530 23531 23532 23533
		23534 23535 23536 23537 23538 23539 23540 23541 23542 23543 23544 23545 23546 23548 23549 23550
		23551 23552 23553 23554 23557 23559 23560 23561 23562 23564 23565 23566 23567 23568 23569 23570
		23571 23572 23573 23574 23575 23576 23577 23578 23580 23582 23583 23584 23585 23586 23588 23589
		23590 23592 23593 23594 23596 23597 23598 23599 23600 23601 23602 23604 23606 23607 23608 23609
		23610 23611 23613 23614 23615 23616 23617 23618 23619 23620 23621 23622 23623 23624 23625 23626
		23627 23628 23629 23630 23631 23632 23633 23634 23635 23636 23637 23638 23641 23642 23643 23645
		23646 23648 23649 23650 23651 23652 23653 23654 23655 23656 23657 23658 23659 23662 23663 23664
		23667 23668 23669 23670 23671 23673 23674 23675 23676 23679 23680 23681 23682 23683 23684 23685
		23686 23687 23688 23689 23690 23691 23692 23693 23694 23695 23696 23697 23698 23699 23700 23701
		23702 23703 23704 23705 23706 23707 23709 23710 23711 23712 23713 23714 23715 23716 23717 23718
		23719 23720 23722 23723 23724 23725 23726 23727 23728 23729 23730 23732 23733 23734 23735 23736
		23737 23738 23739 23740 23741 23742 23743 23744 23745 23746 23747 23749 23750 23751 23752 23753
		23754 23755 23756 23757 23758 23759 23760 23761 23762 23764 23765 23766 23767 23768 23769 23770
		23771 23772 23773 23775 23776 23777 23778 23779 23780 23781 23782 23783 23784 23785 23786 23787
		23789 23790 23791 23792 23794 23795 23798 23799 23800 23801 23802 23803 23804 23805 23806 23807
		23808 23809 23810 23811 23814 23815 23816 23817 23818 23819 23820 23821 23823 23825 23826 23827
		23828 23829 23830 23831 23832 23833 23834 23835 23836 23839 23840 23841 23842 23843 23845 23846
		23847 23849 23850 23851 23852 23853 23855 23856 23857 23858 23859 23860 23861 23862 23863 23864
		23865 23866 23867 23868 23870 23871 23872 23873 23874 23875 23877 23878 23879 23880 23881 23882
		23883 23884 23885 23887 23888 23889 23890 23891 23892 23893 23894 23895 23896 23897 23898 23900
		23901 23903 23904 23905 23906 23907 23908 23909 23910 23911 23912 23913 23914 23915 23916 23917
		23918 23919 23920 23922 23923 23924 23925 23927 23928 23929 23930 23931 23932 23933 23934 23935
		23936 23937 23938 23940 23941 23942 23943 23944 23945 23947 23948 23949 23950 23951 23952 23953
		23954 23955 23956 23957 23958 23959 23960 23961 23962 23963 23964 23965 23966 23967 23968 23969
		23970 23971 23972 23973 23974 23975 23976 23977 23980 23981 23982 23983 23984 23985 23986 23987
		23988 23989 23990 23991 23992 23993 23994 23995 23996 23997 23998 23999 24000 24001 24002 24003
		24005 24006 24007 24008 24009 24010 24011 24012 24013 24014 24015 24017 24020 24021 24022 24024
		24025 24026 24027 24028 24029 24030 24031 24032 24033 24034 24035 24036 24037 24038 24040 24041
		24042 24044 24045 24046 24047 24048 24049 24050 24052 24053 24054 24055 24056 24057 24059 24060
		24061 24062 24063 24064 24065 24066 24067 24069 24070 24071 24073 24074 24075 24076 24077 24078
		24079 24080 24081 24082 24083 24084 24085 24086 24087 24088 24089 24090 24091 24092 24093 24094
		24095 24096 24097 24098 24099 24100 24102 24103 24104 24105 24106 24107 24108 24109 24111 24112
		24113 24114 24115 24116 24117 24118 24119 24120 24122 24123 24124 24125 24126 24127 24128 24129
		24130 24131 24132 24134 24135 24136 24137 24138 24139 24140 24141 24142 24143 24144 24145 24146
		24147 24149 24150 24151 24152 24153 24155 24156 24157 24158 24160 24161 24162 24163 24164 24165
		24166 24168 24169 24170 24171 24172 24173 24174 24175 24177 24178 24179 24180 24181 24182 24183
		24184 24185 24186 24187 24189 24190 24191 24193 24195 24196 24197 24198 24199 24200 24201 24202
		24203 24204 24205 24206 24207 24208 24209 24210 24212 24213 24214 24215 24216 24217 24218 24219
		24220 24221 24222 24223 24224 24225 24226 24227 24228 24230 24231 24232 24233 24234 24235 24236
		24237 24238 24239 24240 24241 24242 24243 24244 24245 24246 24247 24248 24250 24251 24252 24253
		24254 24255 24256 24257 24258 24259 24260 24261 24262 24263 24264 24265 24266 24267 24268 24269
		24270 24271 24272 24273 24274 24275 24276 24277 24278 24280 24281 24282 24283 24284 24285 24286
		24287 24288 24289 24290 24291 24292 24293 24294 24295 24296 24297 24300 24303 24304 24305 24307
		24308 24310 24311 24312 24313 24315 24316 24317 24318 24319 24320 24321 24322 24324 24325 24327
		24328 24329 24330 24331 24332 24333 24334 24336 24337 24339 24340 24341 24342 24343 24344 24345
		24346 24347 24348 24349 24350 24351 24352 24353 24354 24355 24356 24358 24359 24360 24361 24362
		24363 24364 24365 24367 24368 24369 24370 24371 24372 24373 24374 24375 24376 24377 24378 24379
		24380 24381 24382 24383 24384 24385 24386 24387 24388 24389 24390 24391 24395 24396 24398 24399
		24400 24401 24402 24403 24404 24405 24406 24407 24408 24409 24410 24411 24412 24413 24414 24416
		24417 24418 24419 24420 24421 24423 24424 24425 24426 24428 24429 24430 24432 24433 24434 24435
		24436 24437 24438 24439 24441 24442 24443 24445 24446 24448 24449 24450 24451 24452 24453 24454
		24455 24456 24458 24459 24460 24461 24462 24463 24465 24466 24468 24469 24470 24471 24472 24474
		24475 24476 24477 24478 24479 24480 24481 24482 24483 24485 24486 24487 24488 24489 24490 24491
		24492 24493 24494 24495 24496 24497 24498 24500 24501 24502 24503 24504 24505 24506 24507 24508
		24509 24510 24511 24513 24514 24515 24516 24518 24519 24520 24521 24522 24523 24524 24525 24526
		24527 24529 24531 24532 24533 24534 24536 24537 24539 24540 24541 24542 24543 24545 24546 24547
		24548 24549 24550 24551 24552 24553 24554 24555 24557 24558 24559 24560 24561 24562 24563 24564
		24565 24569 24570 24571 24572 24573 24574 24575 24576 24577 24578 24579 24580 24582 24583 24584
		24585 24586 24587 24588 24589 24590 24591 24592 24594 24595 24596 24597 24598 24599 24600 24602
		24603 24604 24605 24606 24607 24608 24609 24610 24611 24612 24613 24614 24615 24616 24617 24618
		24619 24621 24622 24623 24625 24626 24627 24628 24629 24630 24631 24632 24633 24634 24635 24636
		24637 24638 24639 24640 24641 24642 24643 24644 24645 24646 24647 24648 24649 24650 24651 24654
		24655 24656 24657 24658 24659 24660 24663 24664 24665 24667 24668 24670 24671 24673 24674 24675
		24677 24678 24679 24680 24681 24682 24683 24684 24685 24687 24690 24691 24692 24693 24695 24696
		24697 24698 24699 24700 24701 24702 24704 24705 24707 24708 24709 24710 24711 24712 24713 24714
		24715 24716 24717 24718 24719 24720 24721 24722 24723 24724 24725 24726 24727 24728 24731 24732
		24733 24734 24735 24736 24737 24738 24739 24740 24741 24742 24743 24744 24745 24746 24747 24749
		24750 24751 24753 24754 24755 24756 24757 24759 24760 24761 24762 24764 24765 24767 24768 24769
		24770 24771 24772 24773 24774 24775 24776 24778 24779 24780 24781 24782 24783 24784 24785 24791
		24792 24793 24794 24795 24797 24798 24799 24800 24801 24802 24803 24804 24805 24806 24807 24809
		24810 24811 24812 24814 24815 24816 24817 24818 24819 24820 24821 24822 24823 24824 24825 24826
		24827 24828 24829 24831 24833 24834 24835 24836 24837 24838 24839 24840 24841 24842 24843 24844
		24845 24846 24847 24848 24850 24851 24852 24853 24854 24855 24856 24857 24858 24860 24862 24863
		24864 24865 24866 24867 24868 24869 24870 24872 24873 24874 24875 24876 24877 24878 24879 24880
		24881 24882 24883 24885 24886 24887 24888 24890 24891 24892 24893 24894 24895 24896 24897 24900
		24901 24902 24903 24904 24905 24906 24907 24908 24909 24910 24911 24912 24913 24914 24915 24916
		24917 24918 24919 24921 24922 24923 24924 24925 24926 24927 24928 24929 24930 24931 24932 24933
		24934 24935 24936 24937 24938 24939 24940 24941 24942 24943 24944 24945 24946 24947 24948 24949
		24950 24951 24952 24953 24954 24955 24956 24957 24958 24960 24961 24962 24963 24964 24965 24966
		24968 24969 24971 24972 24973 24974 24975 24976 24977 24978 24979 24980 24981 24982 24983 24984
		24985 24986 24987 24988 24989 24990 24991 24992 24993 24994 24995 24996 24997 24998 24999 25000
		25001 25002 25003 25004 25005 25006 25007 25008 25009 25010 25011 25012 25013 25014 25016 25018
		25019 25020 25021 25023 25024 25025 25027 25028 25029 25030 25031 25032 25033 25034 25036 25037
		25039 25040 25041 25042 25043 25044 25045 25046 25047 25048 25049 25050 25051 25052 25053 25054
		25055 25056 25057 25058 25060 25063 25064 25065 25066 25067 25068 25069 25070 25071 25072 25073
		25074 25075 25076 25077 25078 25079 25080 25083 25084 25085 25086 25087 25088 25089 25090 25092
		25095 25096 25097 25098 25099 25100 25102 25103 25105 25106 25107 25109 25110 25111 25112 25113
		25114 25115 25116 25117 25118 25119 25120 25121 25122 25123 25125 25126 25127 25128 25129 25130
		25131 25132 25134 25135 25137 25138 25139 25140 25141 25142 25144 25145 25146 25147 25148 25149
		25150 25151 25152 25153 25154 25155 25156 25157 25158 25159 25160 25163 25164 25165 25166 25167
		25168 25169 25170 25171 25172 25173 25174 25175 25176 25177 25178 25179 25180 25181 25182 25183
		25184 25185 25186 25187 25188 25189 25190 25191 25192 25193 25194 25195 25196 25197 25198 25199
		25200 25201 25202 25203 25204 25205 25206 25207 25208 25209 25210 25211 25212 25214 25215 25216
		25217 25218 25219 25220 25221 25222 25223 25224 25225 25226 25227 25229 25230 25231 25232 25233
		25234 25235 25236 25238 25239 25240 25241 25243 25244 25245 25246 25249 25250 25251 25252 25253
		25254 25255 25256 25257 25258 25259 25260 25262 25264 25266 25267 25269 25270 25271 25272 25273
		25274 25275 25276 25278 25280 25281 25282 25283 25284 25285 25286 25287 25288 25291 25292 25293
		25294 25296 25298 25299 25300 25301 25302 25303 25304 25305 25306 25307 25309 25311 25312 25313
		25315 25316 25317 25319 25320 25321 25322 25323 25324 25326 25327 25328 25329 25330 25331 25332
		25333 25334 25335 25336 25337 25338 25339 25340 25341 25342 25344 25345 25346 25347 25348 25349
		25350 25352 25353 25354 25356 25357 25358 25359 25360 25361 25362 25363 25364 25365 25366 25367
		25368 25369 25370 25372 25373 25374 25376 25378 25379 25380 25381 25382 25383 25384 25385 25386
		25387 25388 25389 25390 25391 25393 25395 25397 25398 25399 25400 25401 25402 25404 25405 25406
		25407 25408 25410 25412 25413 25416 25417 25418 25419 25420 25421 25422 25423 25424 25426 25427
		25428 25429 25430 25431 25433 25435 25436 25438 25439 25442 25443 25444 25445 25446 25447 25448
		25449 25450 25451 25452 25453 25454 25455 25457 25458 25459 25461 25462 25463 25464 25465 25466
		25469 25470 25471 25472 25473 25475 25478 25479 25480 25481 25482 25483 25484 25485 25486 25487
		25488 25489 25490 25491 25492 25493 25494 25495 25496 25497 25498 25499 25500 25501 25502 25503
		25504 25505 25506 25507 25508 25509 25510 25511 25512 25513 25515 25516 25517 25518 25519 25520
		25521 25523 25524 25525 25526 25528 25529 25530 25531 25532 25534 25536 25537 25538 25539 25540
		25541 25542 25543 25544 25545 25547 25548 25549 25550 25551 25552 25553 25554 25555 25557 25558
		25559 25561 25562 25563 25564 25565 25566 25568 25569 25570 25571 25572 25573 25574 25575 25576
		25577 25578 25579 25580 25581 25582 25583 25584 25585 25586 25587 25588 25589 25590 25591 25592
		25593 25594 25596 25597 25598 25599 25600 25602 25604 25605 25606 25607 25608 25610 25611 25612
		25614 25617 25618 25619 25621 25622 25623 25624 25625 25626 25627 25628 25629 25630 25631 25632
		25633 25634 25635 25636 25637 25638 25639 25640 25641 25642 25643 25644 25645 25647 25648 25650
		25652 25654 25655 25656 25657 25658 25659 25660 25661 25662 25663 25664 25665 25666 25667 25668
		25669 25671 25672 25673 25674 25675 25676 25677 25678 25679 25680 25681 25682 25683 25686 25687
		25688 25689 25690 25691 25692 25693 25694 25696 25697 25698 25699 25700 25702 25703 25705 25706
		25707 25708 25709 25710 25712 25713 25714 25715 25716 25717 25718 25720 25721 25722 25723 25724
		25725 25726 25728 25729 25730 25731 25732 25734 25735 25736 25737 25738 25739 25740 25741 25742
		25743 25744 25745 25747 25749 25750 25752 25753 25754 25755 25756 25757 25758 25761 25762 25763
		25764 25765 25766 25767 25768 25769 25770 25771 25772 25773 25774 25775 25776 25777 25778 25780
		25781 25782 25783 25784 25786 25787 25788 25790 25791 25792 25793 25794 25795 25796 25797 25798
		25799 25800 25802 25803 25806 25807 25808 25809 25810 25811 25812 25813 25814 25815 25816 25818
		25819 25820 25821 25822 25823 25824 25825 25826 25827 25829 25830 25831 25832 25833 25835 25836
		25838 25839 25840 25841 25842 25843 25844 25845 25846 25847 25848 25850 25851 25852 25853 25854
		25855 25856 25857 25858 25859 25860 25861 25863 25864 25866 25868 25869 25871 25872 25874 25875
		25876 25877 25878 25879 25880 25882 25883 25884 25885 25886 25887 25889 25890 25891 25892 25893
		25894 25896 25897 25899 25900 25901 25902 25903 25904 25905 25906 25907 25908 25909 25910 25911
		25913 25914 25915 25916 25917 25918 25919 25920 25921 25922 25923 25924 25925 25927 25928 25929
		25930 25931 25932 25933 25934 25935 25936 25937 25938 25941 25943 25944 25945 25946 25947 25948
		25949 25950 25951 25952 25953 25954 26415 26416 26417 26418 26420
	}
	regions = { # all of Westeros south of the Neck except Rhoynish Dorne
		world_westeros_the_neck
		world_westeros_the_north_mainland
		world_westeros_the_crownlands_crackclaw
		world_westeros_the_crownlands_valyrian_north_islands
		world_westeros_the_westerlands_north
		world_westeros_the_iron_islands
		world_westeros_moonclans
		world_westeros_the_riverlands_north
		world_westeros_the_vale
		world_essos_braavos
		world_essos_andalos
	}
	duchies = {
		d_bear_island
	}
}
